"No";"Suhu";"Lembab";"Kenyamanan"
121;1;19;"Tidak Nyaman"
122;1;20;"Tidak Nyaman"
123;1;21;"Tidak Nyaman"
124;1;22;"Tidak Nyaman"
125;1;23;"Tidak Nyaman"
126;1;24;"Tidak Nyaman"
127;1;25;"Tidak Nyaman"
128;1;26;"Tidak Nyaman"
129;1;27;"Tidak Nyaman"
130;1;28;"Tidak Nyaman"
131;1;29;"Tidak Nyaman"
132;1;30;"Tidak Nyaman"
133;1;31;"Tidak Nyaman"
134;1;32;"Tidak Nyaman"
135;1;33;"Tidak Nyaman"
136;1;34;"Tidak Nyaman"
137;1;35;"Tidak Nyaman"
138;1;36;"Tidak Nyaman"
139;1;37;"Tidak Nyaman"
140;1;38;"Tidak Nyaman"
141;1;39;"Tidak Nyaman"
142;1;40;"Tidak Nyaman"
143;1;41;"Tidak Nyaman"
144;1;42;"Tidak Nyaman"
145;1;43;"Tidak Nyaman"
146;1;44;"Tidak Nyaman"
147;1;45;"Tidak Nyaman"
148;1;46;"Tidak Nyaman"
149;1;47;"Tidak Nyaman"
150;1;48;"Tidak Nyaman"
151;1;49;"Tidak Nyaman"
152;1;50;"Tidak Nyaman"
153;1;51;"Tidak Nyaman"
154;1;52;"Tidak Nyaman"
155;1;53;"Tidak Nyaman"
156;1;54;"Tidak Nyaman"
157;1;55;"Tidak Nyaman"
158;1;56;"Tidak Nyaman"
159;1;57;"Tidak Nyaman"
160;1;58;"Tidak Nyaman"
161;1;59;"Tidak Nyaman"
162;1;60;"Tidak Nyaman"
163;1;61;"Tidak Nyaman"
164;1;62;"Tidak Nyaman"
165;1;63;"Kurang Nyaman"
166;1;64;"Kurang Nyaman"
167;1;65;"Kurang Nyaman"
168;1;66;"Kurang Nyaman"
169;1;67;"Kurang Nyaman"
170;1;68;"Kurang Nyaman"
171;1;69;"Kurang Nyaman"
172;1;70;"Kurang Nyaman"
173;1;71;"Kurang Nyaman"
174;1;72;"Kurang Nyaman"
175;1;73;"Kurang Nyaman"
176;1;74;"Kurang Nyaman"
177;1;75;"Kurang Nyaman"
178;1;76;"Kurang Nyaman"
179;1;77;"Kurang Nyaman"
180;1;78;"Kurang Nyaman"
181;1;79;"Kurang Nyaman"
182;1;80;"Kurang Nyaman"
183;1;81;"Kurang Nyaman"
184;1;82;"Kurang Nyaman"
185;1;83;"Kurang Nyaman"
186;1;84;"Kurang Nyaman"
187;1;85;"Kurang Nyaman"
188;1;86;"Kurang Nyaman"
189;1;87;"Kurang Nyaman"
190;1;88;"Kurang Nyaman"
191;1;89;"Kurang Nyaman"
192;1;90;"Kurang Nyaman"
193;1;91;"Kurang Nyaman"
194;1;92;"Kurang Nyaman"
195;1;93;"Kurang Nyaman"
196;1;94;"Kurang Nyaman"
197;1;95;"Kurang Nyaman"
198;1;96;"Kurang Nyaman"
199;1;97;"Kurang Nyaman"
200;1;98;"Kurang Nyaman"
201;1;99;"Kurang Nyaman"
202;1;100;"Kurang Nyaman"
203;2;0;"Tidak Nyaman"
204;2;1;"Tidak Nyaman"
205;2;2;"Tidak Nyaman"
206;2;3;"Tidak Nyaman"
207;2;4;"Tidak Nyaman"
208;2;5;"Tidak Nyaman"
209;2;6;"Tidak Nyaman"
210;2;7;"Tidak Nyaman"
211;2;8;"Tidak Nyaman"
212;2;9;"Tidak Nyaman"
213;2;10;"Tidak Nyaman"
214;2;11;"Tidak Nyaman"
215;2;12;"Tidak Nyaman"
216;2;13;"Tidak Nyaman"
217;2;14;"Tidak Nyaman"
218;2;15;"Tidak Nyaman"
219;2;16;"Tidak Nyaman"
220;2;17;"Tidak Nyaman"
221;2;18;"Tidak Nyaman"
222;2;19;"Tidak Nyaman"
223;2;20;"Tidak Nyaman"
224;2;21;"Tidak Nyaman"
225;2;22;"Tidak Nyaman"
226;2;23;"Tidak Nyaman"
227;2;24;"Tidak Nyaman"
228;2;25;"Tidak Nyaman"
229;2;26;"Tidak Nyaman"
230;2;27;"Tidak Nyaman"
231;2;28;"Tidak Nyaman"
232;2;29;"Tidak Nyaman"
233;2;30;"Tidak Nyaman"
234;2;31;"Tidak Nyaman"
235;2;32;"Tidak Nyaman"
236;2;33;"Tidak Nyaman"
237;2;34;"Tidak Nyaman"
238;2;35;"Tidak Nyaman"
239;2;36;"Tidak Nyaman"
240;2;37;"Tidak Nyaman"
241;2;38;"Tidak Nyaman"
242;2;39;"Tidak Nyaman"
243;2;40;"Tidak Nyaman"
244;2;41;"Tidak Nyaman"
245;2;42;"Tidak Nyaman"
246;2;43;"Tidak Nyaman"
247;2;44;"Tidak Nyaman"
248;2;45;"Tidak Nyaman"
249;2;46;"Tidak Nyaman"
250;2;47;"Tidak Nyaman"
251;2;48;"Tidak Nyaman"
252;2;49;"Tidak Nyaman"
253;2;50;"Tidak Nyaman"
254;2;51;"Tidak Nyaman"
255;2;52;"Tidak Nyaman"
256;2;53;"Tidak Nyaman"
257;2;54;"Tidak Nyaman"
258;2;55;"Tidak Nyaman"
259;2;56;"Tidak Nyaman"
260;2;57;"Tidak Nyaman"
261;2;58;"Tidak Nyaman"
262;2;59;"Tidak Nyaman"
263;2;60;"Tidak Nyaman"
264;2;61;"Tidak Nyaman"
265;2;62;"Tidak Nyaman"
266;2;63;"Kurang Nyaman"
267;2;64;"Kurang Nyaman"
268;2;65;"Kurang Nyaman"
269;2;66;"Kurang Nyaman"
270;2;67;"Kurang Nyaman"
271;2;68;"Kurang Nyaman"
272;2;69;"Kurang Nyaman"
273;2;70;"Kurang Nyaman"
274;2;71;"Kurang Nyaman"
275;2;72;"Kurang Nyaman"
276;2;73;"Kurang Nyaman"
277;2;74;"Kurang Nyaman"
278;2;75;"Kurang Nyaman"
279;2;76;"Kurang Nyaman"
280;2;77;"Kurang Nyaman"
281;2;78;"Kurang Nyaman"
282;2;79;"Kurang Nyaman"
283;2;80;"Kurang Nyaman"
284;2;81;"Kurang Nyaman"
285;2;82;"Kurang Nyaman"
286;2;83;"Kurang Nyaman"
287;2;84;"Kurang Nyaman"
288;2;85;"Kurang Nyaman"
289;2;86;"Kurang Nyaman"
290;2;87;"Kurang Nyaman"
291;2;88;"Kurang Nyaman"
292;2;89;"Kurang Nyaman"
293;2;90;"Kurang Nyaman"
294;2;91;"Kurang Nyaman"
295;2;92;"Kurang Nyaman"
296;2;93;"Kurang Nyaman"
297;2;94;"Kurang Nyaman"
298;2;95;"Kurang Nyaman"
299;2;96;"Kurang Nyaman"
300;2;97;"Kurang Nyaman"
301;2;98;"Kurang Nyaman"
302;2;99;"Kurang Nyaman"
303;2;100;"Kurang Nyaman"
304;3;0;"Tidak Nyaman"
305;3;1;"Tidak Nyaman"
306;3;2;"Tidak Nyaman"
307;3;3;"Tidak Nyaman"
308;3;4;"Tidak Nyaman"
309;3;5;"Tidak Nyaman"
310;3;6;"Tidak Nyaman"
311;3;7;"Tidak Nyaman"
312;3;8;"Tidak Nyaman"
313;3;9;"Tidak Nyaman"
314;3;10;"Tidak Nyaman"
315;3;11;"Tidak Nyaman"
316;3;12;"Tidak Nyaman"
317;3;13;"Tidak Nyaman"
318;3;14;"Tidak Nyaman"
319;3;15;"Tidak Nyaman"
320;3;16;"Tidak Nyaman"
321;3;17;"Tidak Nyaman"
322;3;18;"Tidak Nyaman"
323;3;19;"Tidak Nyaman"
324;3;20;"Tidak Nyaman"
325;3;21;"Tidak Nyaman"
326;3;22;"Tidak Nyaman"
327;3;23;"Tidak Nyaman"
328;3;24;"Tidak Nyaman"
329;3;25;"Tidak Nyaman"
330;3;26;"Tidak Nyaman"
331;3;27;"Tidak Nyaman"
332;3;28;"Tidak Nyaman"
333;3;29;"Tidak Nyaman"
334;3;30;"Tidak Nyaman"
335;3;31;"Tidak Nyaman"
336;3;32;"Tidak Nyaman"
337;3;33;"Tidak Nyaman"
338;3;34;"Tidak Nyaman"
339;3;35;"Tidak Nyaman"
340;3;36;"Tidak Nyaman"
341;3;37;"Tidak Nyaman"
342;3;38;"Tidak Nyaman"
343;3;39;"Tidak Nyaman"
344;3;40;"Tidak Nyaman"
345;3;41;"Tidak Nyaman"
346;3;42;"Tidak Nyaman"
347;3;43;"Tidak Nyaman"
348;3;44;"Tidak Nyaman"
349;3;45;"Tidak Nyaman"
350;3;46;"Tidak Nyaman"
351;3;47;"Tidak Nyaman"
352;3;48;"Tidak Nyaman"
353;3;49;"Tidak Nyaman"
354;3;50;"Tidak Nyaman"
355;3;51;"Tidak Nyaman"
356;3;52;"Tidak Nyaman"
357;3;53;"Tidak Nyaman"
358;3;54;"Tidak Nyaman"
359;3;55;"Tidak Nyaman"
360;3;56;"Tidak Nyaman"
361;3;57;"Tidak Nyaman"
362;3;58;"Tidak Nyaman"
363;3;59;"Tidak Nyaman"
364;3;60;"Tidak Nyaman"
365;3;61;"Tidak Nyaman"
366;3;62;"Tidak Nyaman"
367;3;63;"Kurang Nyaman"
368;3;64;"Kurang Nyaman"
369;3;65;"Kurang Nyaman"
370;3;66;"Kurang Nyaman"
371;3;67;"Kurang Nyaman"
372;3;68;"Kurang Nyaman"
373;3;69;"Kurang Nyaman"
374;3;70;"Kurang Nyaman"
375;3;71;"Kurang Nyaman"
376;3;72;"Kurang Nyaman"
377;3;73;"Kurang Nyaman"
378;3;74;"Kurang Nyaman"
379;3;75;"Kurang Nyaman"
380;3;76;"Kurang Nyaman"
381;3;77;"Kurang Nyaman"
382;3;78;"Kurang Nyaman"
383;3;79;"Kurang Nyaman"
384;3;80;"Kurang Nyaman"
385;3;81;"Kurang Nyaman"
386;3;82;"Kurang Nyaman"
387;3;83;"Kurang Nyaman"
388;3;84;"Kurang Nyaman"
389;3;85;"Kurang Nyaman"
390;3;86;"Kurang Nyaman"
391;3;87;"Kurang Nyaman"
392;3;88;"Kurang Nyaman"
393;3;89;"Kurang Nyaman"
394;3;90;"Kurang Nyaman"
395;3;91;"Kurang Nyaman"
396;3;92;"Kurang Nyaman"
397;3;93;"Kurang Nyaman"
398;3;94;"Kurang Nyaman"
399;3;95;"Kurang Nyaman"
400;3;96;"Kurang Nyaman"
401;3;97;"Kurang Nyaman"
402;3;98;"Kurang Nyaman"
403;3;99;"Kurang Nyaman"
404;3;100;"Kurang Nyaman"
405;4;0;"Tidak Nyaman"
406;4;1;"Tidak Nyaman"
407;4;2;"Tidak Nyaman"
408;4;3;"Tidak Nyaman"
409;4;4;"Tidak Nyaman"
410;4;5;"Tidak Nyaman"
411;4;6;"Tidak Nyaman"
412;4;7;"Tidak Nyaman"
413;4;8;"Tidak Nyaman"
414;4;9;"Tidak Nyaman"
415;4;10;"Tidak Nyaman"
416;4;11;"Tidak Nyaman"
417;4;12;"Tidak Nyaman"
418;4;13;"Tidak Nyaman"
419;4;14;"Tidak Nyaman"
420;4;15;"Tidak Nyaman"
421;4;16;"Tidak Nyaman"
422;4;17;"Tidak Nyaman"
423;4;18;"Tidak Nyaman"
424;4;19;"Tidak Nyaman"
425;4;20;"Tidak Nyaman"
426;4;21;"Tidak Nyaman"
427;4;22;"Tidak Nyaman"
428;4;23;"Tidak Nyaman"
429;4;24;"Tidak Nyaman"
430;4;25;"Tidak Nyaman"
431;4;26;"Tidak Nyaman"
432;4;27;"Tidak Nyaman"
433;4;28;"Tidak Nyaman"
434;4;29;"Tidak Nyaman"
435;4;30;"Tidak Nyaman"
436;4;31;"Tidak Nyaman"
437;4;32;"Tidak Nyaman"
438;4;33;"Tidak Nyaman"
439;4;34;"Tidak Nyaman"
440;4;35;"Tidak Nyaman"
441;4;36;"Tidak Nyaman"
442;4;37;"Tidak Nyaman"
443;4;38;"Tidak Nyaman"
444;4;39;"Tidak Nyaman"
445;4;40;"Tidak Nyaman"
446;4;41;"Tidak Nyaman"
447;4;42;"Tidak Nyaman"
448;4;43;"Tidak Nyaman"
449;4;44;"Tidak Nyaman"
450;4;45;"Tidak Nyaman"
451;4;46;"Tidak Nyaman"
452;4;47;"Tidak Nyaman"
453;4;48;"Tidak Nyaman"
454;4;49;"Tidak Nyaman"
455;4;50;"Tidak Nyaman"
456;4;51;"Tidak Nyaman"
457;4;52;"Tidak Nyaman"
458;4;53;"Tidak Nyaman"
459;4;54;"Tidak Nyaman"
460;4;55;"Tidak Nyaman"
461;4;56;"Tidak Nyaman"
462;4;57;"Tidak Nyaman"
463;4;58;"Tidak Nyaman"
464;4;59;"Tidak Nyaman"
465;4;60;"Tidak Nyaman"
466;4;61;"Tidak Nyaman"
467;4;62;"Tidak Nyaman"
468;4;63;"Kurang Nyaman"
469;4;64;"Kurang Nyaman"
470;4;65;"Kurang Nyaman"
471;4;66;"Kurang Nyaman"
472;4;67;"Kurang Nyaman"
473;4;68;"Kurang Nyaman"
474;4;69;"Kurang Nyaman"
475;4;70;"Kurang Nyaman"
476;4;71;"Kurang Nyaman"
477;4;72;"Kurang Nyaman"
478;4;73;"Kurang Nyaman"
479;4;74;"Kurang Nyaman"
480;4;75;"Kurang Nyaman"
481;4;76;"Kurang Nyaman"
482;4;77;"Kurang Nyaman"
483;4;78;"Kurang Nyaman"
484;4;79;"Kurang Nyaman"
485;4;80;"Kurang Nyaman"
486;4;81;"Kurang Nyaman"
487;4;82;"Kurang Nyaman"
488;4;83;"Kurang Nyaman"
489;4;84;"Kurang Nyaman"
490;4;85;"Kurang Nyaman"
491;4;86;"Kurang Nyaman"
492;4;87;"Kurang Nyaman"
493;4;88;"Kurang Nyaman"
494;4;89;"Kurang Nyaman"
495;4;90;"Kurang Nyaman"
496;4;91;"Kurang Nyaman"
497;4;92;"Kurang Nyaman"
498;4;93;"Kurang Nyaman"
499;4;94;"Kurang Nyaman"
500;4;95;"Kurang Nyaman"
501;4;96;"Kurang Nyaman"
502;4;97;"Kurang Nyaman"
503;4;98;"Kurang Nyaman"
504;4;99;"Kurang Nyaman"
505;4;100;"Kurang Nyaman"
506;5;0;"Tidak Nyaman"
507;5;1;"Tidak Nyaman"
508;5;2;"Tidak Nyaman"
509;5;3;"Tidak Nyaman"
510;5;4;"Tidak Nyaman"
511;5;5;"Tidak Nyaman"
512;5;6;"Tidak Nyaman"
513;5;7;"Tidak Nyaman"
514;5;8;"Tidak Nyaman"
515;5;9;"Tidak Nyaman"
516;5;10;"Tidak Nyaman"
517;5;11;"Tidak Nyaman"
518;5;12;"Tidak Nyaman"
519;5;13;"Tidak Nyaman"
520;5;14;"Tidak Nyaman"
521;5;15;"Tidak Nyaman"
522;5;16;"Tidak Nyaman"
523;5;17;"Tidak Nyaman"
524;5;18;"Tidak Nyaman"
525;5;19;"Tidak Nyaman"
526;5;20;"Tidak Nyaman"
527;5;21;"Tidak Nyaman"
528;5;22;"Tidak Nyaman"
529;5;23;"Tidak Nyaman"
530;5;24;"Tidak Nyaman"
531;5;25;"Tidak Nyaman"
532;5;26;"Tidak Nyaman"
533;5;27;"Tidak Nyaman"
534;5;28;"Tidak Nyaman"
535;5;29;"Tidak Nyaman"
536;5;30;"Tidak Nyaman"
537;5;31;"Tidak Nyaman"
538;5;32;"Tidak Nyaman"
539;5;33;"Tidak Nyaman"
540;5;34;"Tidak Nyaman"
541;5;35;"Tidak Nyaman"
542;5;36;"Tidak Nyaman"
543;5;37;"Tidak Nyaman"
544;5;38;"Tidak Nyaman"
545;5;39;"Tidak Nyaman"
546;5;40;"Tidak Nyaman"
547;5;41;"Tidak Nyaman"
548;5;42;"Tidak Nyaman"
549;5;43;"Tidak Nyaman"
550;5;44;"Tidak Nyaman"
551;5;45;"Tidak Nyaman"
552;5;46;"Tidak Nyaman"
553;5;47;"Tidak Nyaman"
554;5;48;"Tidak Nyaman"
555;5;49;"Tidak Nyaman"
556;5;50;"Tidak Nyaman"
557;5;51;"Tidak Nyaman"
558;5;52;"Tidak Nyaman"
559;5;53;"Tidak Nyaman"
560;5;54;"Tidak Nyaman"
561;5;55;"Tidak Nyaman"
562;5;56;"Tidak Nyaman"
563;5;57;"Tidak Nyaman"
564;5;58;"Tidak Nyaman"
565;5;59;"Tidak Nyaman"
566;5;60;"Tidak Nyaman"
567;5;61;"Tidak Nyaman"
568;5;62;"Tidak Nyaman"
569;5;63;"Kurang Nyaman"
570;5;64;"Kurang Nyaman"
571;5;65;"Kurang Nyaman"
572;5;66;"Kurang Nyaman"
573;5;67;"Kurang Nyaman"
574;5;68;"Kurang Nyaman"
575;5;69;"Kurang Nyaman"
576;5;70;"Kurang Nyaman"
577;5;71;"Kurang Nyaman"
578;5;72;"Kurang Nyaman"
579;5;73;"Kurang Nyaman"
580;5;74;"Kurang Nyaman"
581;5;75;"Kurang Nyaman"
582;5;76;"Kurang Nyaman"
583;5;77;"Kurang Nyaman"
584;5;78;"Kurang Nyaman"
585;5;79;"Kurang Nyaman"
586;5;80;"Kurang Nyaman"
587;5;81;"Kurang Nyaman"
588;5;82;"Kurang Nyaman"
589;5;83;"Kurang Nyaman"
590;5;84;"Kurang Nyaman"
591;5;85;"Kurang Nyaman"
592;5;86;"Kurang Nyaman"
593;5;87;"Kurang Nyaman"
594;5;88;"Kurang Nyaman"
595;5;89;"Kurang Nyaman"
596;5;90;"Kurang Nyaman"
597;5;91;"Kurang Nyaman"
598;5;92;"Kurang Nyaman"
599;5;93;"Kurang Nyaman"
600;5;94;"Kurang Nyaman"
601;5;95;"Kurang Nyaman"
602;5;96;"Kurang Nyaman"
603;5;97;"Kurang Nyaman"
604;5;98;"Kurang Nyaman"
605;5;99;"Kurang Nyaman"
606;5;100;"Kurang Nyaman"
607;6;0;"Tidak Nyaman"
608;6;1;"Tidak Nyaman"
609;6;2;"Tidak Nyaman"
610;6;3;"Tidak Nyaman"
611;6;4;"Tidak Nyaman"
612;6;5;"Tidak Nyaman"
613;6;6;"Tidak Nyaman"
614;6;7;"Tidak Nyaman"
615;6;8;"Tidak Nyaman"
616;6;9;"Tidak Nyaman"
617;6;10;"Tidak Nyaman"
618;6;11;"Tidak Nyaman"
619;6;12;"Tidak Nyaman"
620;6;13;"Tidak Nyaman"
621;6;14;"Tidak Nyaman"
622;6;15;"Tidak Nyaman"
623;6;16;"Tidak Nyaman"
624;6;17;"Tidak Nyaman"
625;6;18;"Tidak Nyaman"
626;6;19;"Tidak Nyaman"
627;6;20;"Tidak Nyaman"
628;6;21;"Tidak Nyaman"
629;6;22;"Tidak Nyaman"
630;6;23;"Tidak Nyaman"
631;6;24;"Tidak Nyaman"
632;6;25;"Tidak Nyaman"
633;6;26;"Tidak Nyaman"
634;6;27;"Tidak Nyaman"
635;6;28;"Tidak Nyaman"
636;6;29;"Tidak Nyaman"
637;6;30;"Tidak Nyaman"
638;6;31;"Tidak Nyaman"
639;6;32;"Tidak Nyaman"
640;6;33;"Tidak Nyaman"
641;6;34;"Tidak Nyaman"
642;6;35;"Tidak Nyaman"
643;6;36;"Tidak Nyaman"
644;6;37;"Tidak Nyaman"
645;6;38;"Tidak Nyaman"
646;6;39;"Tidak Nyaman"
647;6;40;"Tidak Nyaman"
648;6;41;"Tidak Nyaman"
649;6;42;"Tidak Nyaman"
650;6;43;"Tidak Nyaman"
651;6;44;"Tidak Nyaman"
652;6;45;"Tidak Nyaman"
653;6;46;"Tidak Nyaman"
654;6;47;"Tidak Nyaman"
655;6;48;"Tidak Nyaman"
656;6;49;"Tidak Nyaman"
657;6;50;"Tidak Nyaman"
658;6;51;"Tidak Nyaman"
659;6;52;"Tidak Nyaman"
660;6;53;"Tidak Nyaman"
661;6;54;"Tidak Nyaman"
662;6;55;"Tidak Nyaman"
663;6;56;"Tidak Nyaman"
664;6;57;"Tidak Nyaman"
665;6;58;"Tidak Nyaman"
666;6;59;"Tidak Nyaman"
667;6;60;"Tidak Nyaman"
668;6;61;"Tidak Nyaman"
669;6;62;"Tidak Nyaman"
670;6;63;"Kurang Nyaman"
671;6;64;"Kurang Nyaman"
672;6;65;"Kurang Nyaman"
673;6;66;"Kurang Nyaman"
674;6;67;"Kurang Nyaman"
675;6;68;"Kurang Nyaman"
676;6;69;"Kurang Nyaman"
677;6;70;"Kurang Nyaman"
678;6;71;"Kurang Nyaman"
679;6;72;"Kurang Nyaman"
680;6;73;"Kurang Nyaman"
681;6;74;"Kurang Nyaman"
682;6;75;"Kurang Nyaman"
683;6;76;"Kurang Nyaman"
684;6;77;"Kurang Nyaman"
685;6;78;"Kurang Nyaman"
686;6;79;"Kurang Nyaman"
687;6;80;"Kurang Nyaman"
688;6;81;"Kurang Nyaman"
689;6;82;"Kurang Nyaman"
690;6;83;"Kurang Nyaman"
691;6;84;"Kurang Nyaman"
692;6;85;"Kurang Nyaman"
693;6;86;"Kurang Nyaman"
694;6;87;"Kurang Nyaman"
695;6;88;"Kurang Nyaman"
696;6;89;"Kurang Nyaman"
697;6;90;"Kurang Nyaman"
698;6;91;"Kurang Nyaman"
699;6;92;"Kurang Nyaman"
700;6;93;"Kurang Nyaman"
701;6;94;"Kurang Nyaman"
702;6;95;"Kurang Nyaman"
703;6;96;"Kurang Nyaman"
704;6;97;"Kurang Nyaman"
705;6;98;"Kurang Nyaman"
706;6;99;"Kurang Nyaman"
707;6;100;"Kurang Nyaman"
708;7;0;"Tidak Nyaman"
709;7;1;"Tidak Nyaman"
710;7;2;"Tidak Nyaman"
711;7;3;"Tidak Nyaman"
712;7;4;"Tidak Nyaman"
713;7;5;"Tidak Nyaman"
714;7;6;"Tidak Nyaman"
715;7;7;"Tidak Nyaman"
716;7;8;"Tidak Nyaman"
717;7;9;"Tidak Nyaman"
718;7;10;"Tidak Nyaman"
719;7;11;"Tidak Nyaman"
720;7;12;"Tidak Nyaman"
721;7;13;"Tidak Nyaman"
722;7;14;"Tidak Nyaman"
723;7;15;"Tidak Nyaman"
724;7;16;"Tidak Nyaman"
725;7;17;"Tidak Nyaman"
726;7;18;"Tidak Nyaman"
727;7;19;"Tidak Nyaman"
728;7;20;"Tidak Nyaman"
729;7;21;"Tidak Nyaman"
730;7;22;"Tidak Nyaman"
731;7;23;"Tidak Nyaman"
732;7;24;"Tidak Nyaman"
733;7;25;"Tidak Nyaman"
734;7;26;"Tidak Nyaman"
735;7;27;"Tidak Nyaman"
736;7;28;"Tidak Nyaman"
737;7;29;"Tidak Nyaman"
738;7;30;"Tidak Nyaman"
739;7;31;"Tidak Nyaman"
740;7;32;"Tidak Nyaman"
741;7;33;"Tidak Nyaman"
742;7;34;"Tidak Nyaman"
743;7;35;"Tidak Nyaman"
744;7;36;"Tidak Nyaman"
745;7;37;"Tidak Nyaman"
746;7;38;"Tidak Nyaman"
747;7;39;"Tidak Nyaman"
748;7;40;"Tidak Nyaman"
749;7;41;"Tidak Nyaman"
750;7;42;"Tidak Nyaman"
751;7;43;"Tidak Nyaman"
752;7;44;"Tidak Nyaman"
753;7;45;"Tidak Nyaman"
754;7;46;"Tidak Nyaman"
755;7;47;"Tidak Nyaman"
756;7;48;"Tidak Nyaman"
757;7;49;"Tidak Nyaman"
758;7;50;"Tidak Nyaman"
759;7;51;"Tidak Nyaman"
760;7;52;"Tidak Nyaman"
761;7;53;"Tidak Nyaman"
762;7;54;"Tidak Nyaman"
763;7;55;"Tidak Nyaman"
764;7;56;"Tidak Nyaman"
765;7;57;"Tidak Nyaman"
766;7;58;"Tidak Nyaman"
767;7;59;"Tidak Nyaman"
768;7;60;"Tidak Nyaman"
769;7;61;"Tidak Nyaman"
770;7;62;"Tidak Nyaman"
771;7;63;"Kurang Nyaman"
772;7;64;"Kurang Nyaman"
773;7;65;"Kurang Nyaman"
774;7;66;"Kurang Nyaman"
775;7;67;"Kurang Nyaman"
